"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.797382340183 41.92074850503261)","278","RUTHERFORD SAYRE","127","Assorted Mosaics","-87.7973823402","41.920748505","Carol Tarnoff","CPD","6,200",
"POINT (-87.7969997752076 41.92087110502258)","279","RUTHERFORD SAYRE","127","Thomas A. Rutherford Portrait","-87.7969997752","41.920871105","Unknown","CPD","6,201",
"POINT (-87.68545830727923 41.922901496334696)","280","SENIOR CITIZENS MEML.","455","Playground Art","-87.6854583073","41.9229014963","Bucktown Arts Fest","CPD","6,202",
"POINT (-87.63781333481059 41.902799476334025)","281","SEWARD (WILLIAM)","108","I Saw Something Silly in the Park Today","-87.6378133348","41.9027994763","Carolyn Elaine","CPD","6,203",
"POINT (-87.63818578664085 41.90273461710959)","282","SEWARD (WILLIAM)","108","Mosaic","-87.6381857866","41.9027346171","Shana Pearlmutter","CPD","6,204",
"POINT (-87.63764636182718 41.90268449839351)","283","SEWARD (WILLIAM)","108","The Promise of Summer","-87.6376463618","41.9026844984","Patricia M. Murphy","CPD","6,205",
"POINT (-87.6571874617364 41.798429175956976)","284","SHERMAN (JOHN)","7","American History Series","-87.6571874617","41.798429176","S.B. Braidwood et al","CPD","6,206",
"POINT (-87.65742373627114 41.798514988477116)","285","SHERMAN (JOHN)","7","Mosaic","-87.6574237363","41.7985149885","Barbara Miller","CPD","6,207",
"POINT (-87.66859054759652 41.91371601297055)","286","WALSH (JOHN)","393","Playground Art","-87.6685905476","41.913716013","Jen Z. Johns","CPD","6,208","Walsh Playground Art"
"POINT (-87.60742892014716 41.79219530010177)","287","WASHINGTON (GEORGE)","21","Unconditional Love","-87.6074289201","41.7921953001","Lameck Bonjisi","DuSable Museum","6,212",
"POINT (-87.60713590271389 41.792199272239856)","288","WASHINGTON (GEORGE)","21","Elegant Beauty","-87.6071359027","41.7921992722","Luxon Karise","DuSable Museum","6,209","Elegant Beauty"
"POINT (-87.61551241679527 41.79346182564037)","289","WASHINGTON (GEORGE)","21","Mosaic","-87.6155124168","41.7934618256","Evelyn Henton","CPD","6,210",
"POINT (-87.61516515297036 41.79341378708858)","290","WASHINGTON (GEORGE)","21","Peculiar People","-87.615165153","41.7934137871","Damon Lamar Reed","CPD","6,211",
"POINT (-87.65173604711399 41.93505364824823)","291","WEISMAN (ALBERT)","1,135","Something Fishy","-87.6517360471","41.9350536482","Martha Crandall, Chicago Mosaic School","CPD","6,213","Something Fishy"
"POINT (-87.63221173120132 41.670361815606306)","292","WEST PULLMAN","225","Memorial Drinking Fountain","-87.6322117312","41.6703618156","Unknown","CPD","6,214",
"POINT (-87.63188556120045 41.67023638589895)","293","WEST PULLMAN","225","Untitled Mural","-87.6318855612","41.6702363859","Unknown","CPD","6,215",
"POINT (-87.63197862647142 41.67032502318819)","294","WEST PULLMAN","225","Various Mosaics","-87.6319786265","41.6703250232","Alicia Lee","CPD","6,216",
"POINT (-87.67671488545662 41.90815572412606)","295","WICKER (CHARLES, JOEL)","214","Playground Art","-87.6767148855","41.9081557241","Carol Tarnoff","CPD","6,217","Wicker Playground Art"
"POINT (-87.76640977456674 41.95370867351022)","296","PORTAGE","147","Fountains","-87.7664097746","41.9537086735","DeStefano+Partners","CPD","6,245",
"POINT (-87.63776079996686 41.903542230103845)","297","SEWARD (WILLIAM)","108","Fountain","-87.6377608","41.9035422301","FOUNTAIN","CPD","6,246",
"POINT (-87.60891961922708 41.84250081057723)","298","BURNHAM (DANIEL)","27","1919 Race Riot Memorial Boulder","-87.6089196192","41.8425008106","Unknown","CPD","6,259",
"POINT (-87.69332023219674 42.00870896148936)","299","INDIAN BOUNDARY","165","Philip Rogers Memorial Stone & Tablet","-87.6933202322","42.0087089615",,"CPD","6,274",
"POINT (-87.70343583986997 41.77138455577873)","300","MARQUETTE (JACQUES)","10","Martin Luther King Living Memorial","-87.7034358399","41.7713845558","Sonja Henderson & John Pittman Weber",,"6,591","Dr. Martin Luther King Jr. Living Memorial"
"POINT (-87.63040616202171 41.92680677451382)","301","LINCOLN (ABRAHAM)","100","Charitas","-87.630406162","41.9268067745",,,"6,592","Charitas"
"POINT (-87.58303088715441 41.785986586209965)","302","JACKSON (ANDREW)","19","Sky Landing","-87.5830308872","41.7859865862","Yoko Ono",,"6,593",
"POINT (-87.78435369289507 41.92464059314289)","303","RIIS (JACOB)","123","Jacob Riis Monument Boulder","-87.7843536929","41.9246405931","unknown - Erected by Americans of Danish Origin","CPD","6,701",
"POINT (-87.68850497570448 41.96220286740941)","304","WELLES (GIDEON)","110","Arbor Renewal","-87.6885049757","41.9622028674","Thom Cicchelli",,"0","Arbor Renewal"
"POINT (-87.61845706502002 41.86674220535376)","306","GRANT (ULYSSES)","24","Brachiosaurus Replica","-87.618457065","41.8667422054","Unknown",,"0","Brachiosaurus Replica"
"POINT (-87.60890692487439 41.84613545252986)","307","BURNHAM (DANIEL)","27","Caracol","-87.6089069249","41.8461354525","Georgina Valverder & Diana Solis-Contratiempo",,"0","Caracol"
"POINT (-87.53019321325618 41.718142057231844)","308","CALUMET","11","De-Constructed Monument","-87.5301932133","41.7181420572","Chris Perri",,"0","De-Constructed Monument"
"POINT (-87.63112563852577 41.67012160744397)","309","WEST PULLMAN","225","Dear Deer","-87.6311256385","41.6701216074","Janet Austin",,"0","Dear Deer"
"POINT (-87.63454837255696 41.72483316380853)","310","ROBICHAUX","320","Give","-87.6345483726","41.7248331638","Dusty Folwarczny",,"0","Give"
"POINT (-87.59995954577856 41.81168429211716)","311","BROOKS (GWENDOLYN)","362","Gwen Brooks: The Oracle of Bronzeville","-87.5999595458","41.8116842921","Margot McMahon",,"6,773","Gwen Brooks: The Oracle of Bronzeville"
"POINT (-87.60372687388133 41.832379668310345)","312","BURNHAM (DANIEL)","27","La Ronda Parkata","-87.6037268739","41.8323796683","Hector Duarte, Alfonso ""Piloto"" Nieves",,"0","La Ronda Parkata"
"POINT (-87.59807128850545 41.824408148113754)","313","BURNHAM (DANIEL)","27","Letter to Bessie Coleman","-87.5980712885","41.8244081481","Bernard Williams",,"0","Letter to Bessie Coleman"
"POINT (-87.63129725161981 41.92844002029121)","315","LINCOLN","100","Ten Thousand Ripples","-87.6312972516","41.9284400203","Indira Johnson",,"0","Ten Thousand Ripples"
"POINT (-87.70662157912754 41.921290360707886)","316","PALMER SQUARE","539","The Helping Hand","-87.7066215791","41.9212903607","Carrie Fischer",,"0","The Helping Hand"
"POINT (-87.70234055124556 41.92093183771316)","317","PALMER SQUARE","539","The A ""Maze"" ing Larvae of the Emerald Ash Borer","-87.7023405512","41.9209318377","Janet Austin",,"0","The A ""Maze"" ing Larvae of the Emerald Ash Borer"
"POINT (-87.76602846697241 41.95640222342901)","318","PORTAGE","147","Three Dogs in the Park","-87.766028467","41.9564022234","JR Cadawas",,"0","Three Dogs in the Park"
"POINT (-87.68306720155158 41.91398608797858)","319","PARK NO. 572","572","Turning Sky","-87.6830672016","41.913986088","Luftwerk",,"0","Turning Sky"
"POINT (-87.58298927288831 41.79982391223545)","320","WASHINGTON (HAROLD)","494","Washington Second Chance","-87.5829892729","41.7998239122","Karen J Gubitz",,"0","Washington Second Chance"
"POINT (-87.68911696334781 41.98678020286789)","321","WEST RIDGE NATURE PARK","568","West Ridge Towers","-87.6891169633","41.9867802029","Green Star Movement",,"0","West Ridge Towers"
"POINT (-87.59433160114881 41.796993494071074)","322","NICHOLS (JOHN FOUNTAIN)","277","Wolf","-87.5943316011","41.7969934941","Jim Long",,"0","Wolf"
"POINT (-87.60763614675737 41.80072326304618)","323","WASHINGTON (GEORGE)","21","Woven","-87.6076361468","41.800723263","Nicolette Ross",,"0","Woven"
"POINT (-87.70040981485253 41.90537682503698)","325","HUMBOLDT (ALEXANDER VON)","219","Burst","-87.7004098149","41.905376825","Mia Capodilupo",,"0","Burst!"
"POINT (-87.81635326963858 41.99912921462589)","326","OLYMPIA","60","Please save the Birds—Thank You","-87.8163532696","41.9991292146","Kara James",,"0","Please save the Birds—Thank You"
"POINT (-87.81644834332147 41.99930732672888)","330","OLYMPIA","60","SOS—Questions Not Answered","-87.8164483433","41.9993073267","Karl and Indira Johnson",,"0","SOS—Questions Not Answered"
"POINT (-87.7025634344328 41.90267951868741)","331","HUMBOLDT (ALEXANDER VON)","219","Shards of the Rainbow","-87.7025634344","41.9026795187","Gary Lehman",,"0","Shards of the Rainbow"
"POINT (-87.695976972285 41.992088450849046)","332","GREEN BRIAR","188","Shelf Fungi","-87.6959769723","41.9920884508","Vivian Visser",,"0","Shelf Fungi"
"POINT (-87.52975628333257 41.73796002514345)","333","STEELWORKERS","523","South Works Deep Geological Study","-87.5297562833","41.7379600251","Stella Brown",,"0","South Works Deep Geological Study"
"POINT (-87.52961932203023 41.73534223417968)","334","STEELWORKERS","523","Calumet Steel Artifacts","-87.529619322","41.7353422342",,,"0","Calumet Steel Artifacts"
"POINT (-87.64623781923054 41.96426060172656)","335","LINCOLN (ABRAHAM)","100","Conundrum","-87.6462378192","41.9642606017","Actual Size Artworks",,"0","Conundrum"
"POINT (-87.57971452975083 41.78883780817062)","337","JACKSON (ANDREW)","19","Decades","-87.5797145298","41.7888378082","Nick Goettling",,"0","Decades"
"POINT (-87.61570194604708 41.793633733714735)","338","WASHINGTON (GEORGE)","21","Emergence","-87.615701946","41.7936337337","Eric Stephenson",,"0","Emergence #11"
"POINT (-87.61640289736248 41.69172884769937)","339","PALMER (POTTER)","13","Eternal Connections","-87.6164028974","41.6917288477","Phillip Shore",,"0","Eternal Connections"
"POINT (-87.63541512585127 41.92824155476172)","340","LINCOLN (ABRAHAM)","100","Fancy Birds","-87.6354151259","41.9282415548","Sandie Bacon & John Hatleshad",,"0","Fancy Birds"
"POINT (-87.76532098163378 41.875414959992035)","341","COLUMBUS (CHRISTOPHER)","209","Flock","-87.7653209816","41.87541496","Margot McMahon",,"0","Flock"
"POINT (-87.61452654534189 41.7947923274747)","342","WASHINGTON (GEORGE)","21","Ghost Tree","-87.6145265453","41.7947923275","Alison Svoboda",,"0","Ghost Tree"
"POINT (-87.7642915331527 41.956166744122115)","343","PORTAGE","147","Hive","-87.7642915332","41.9561667441","Vivian Visser",,"0","Hive"
"POINT (-87.5570375034237 41.732310546171796)","344","BESSEMER","12","Invasive Species","-87.5570375034","41.7323105462","Marc Schneider",,"0","Invasive Species"
"POINT (-87.64751427121121 41.97363175706398)","345","LINCOLN (ABRAHAM)","100","Lead with the Heart","-87.6475142712","41.9736317571","Kara James",,"0","Lead with the Heart"
"POINT (-87.68037015333071 41.826049658548065)","346","MCKINLEY (WILLIAM)","23","Natura Non Confundenda Est","-87.6803701533","41.8260496585","Anthony Heinz May",,"0","Natura Non Confundenda Est"
"POINT (-87.76515419787853 41.87544294324809)","347","COLUMBUS (CHRISTOPHER)","209","Perch—Preen","-87.7651541979","41.8754429432","Margot McMahon",,"0","Perch—Preen"
"POINT (-87.64122435434663 41.94579950230246)","348","LINCOLN (ABRAHAM)","100","Endless - Lakefront Trail","-87.6412243543","41.9457995023","Samantha Rausch",,"0","Endless (on Lakefront Trail)"
"POINT (-87.59277884182636 41.8176572185005)","349","BURNHAM (DANIEL)","27","E2 Memorial Plaza","-87.5927788418","41.8176572185",,"CPD","6,730","E2 Memorial Plaza"
"POINT (-87.57831557034444 41.79556840677415)","350","BURNHAM (DANIEL)","27","NRHP Boulder","-87.5783155703","41.7955684068",,,"0",
"POINT (-87.63412909088599 41.85869564159888)","351","TOM (PING) MEML.","481","Justice Laura Cha-Yu Liu","-87.6341290909","41.8586956416","Eric Blome",,"6,764",
"POINT (-87.63427162482847 41.939472195434014)","352","LINCOLN (ABRAHAM)","100","Self-Portrait","-87.6342716248","41.9394721954","Keith Haring","CPD","6,774","Self-Portrait"
"POINT (-87.57859700729102 41.788818734798966)","354","JACKSON (ANDREW)","19","Frederick Douglass Haitian Pavilion Boulder","-87.5785970073","41.7888187348",,,"6,777",
