"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.76656587052842 41.95445522558692)","173","PORTAGE","147","Canoes","-87.7665658705","41.9544552256","Phil Schuster, CPAG","CPD","1,409","Canoes"
"POINT (-87.70463719976985 41.91396869268712)","174","DE BURGOS (JULIA)","554","Spider Sculpture","-87.7046371998","41.9139686927","Phil Schuster, CPAG",,"1,410",
"POINT (-87.6351857116728 41.92111044379526)","175","LINCOLN (ABRAHAM)","100","For the Young at Heart","-87.6351857117","41.9211104438","George Suyeoka","Lincoln Park Zoo","1,411","For the Young at Heart"
"POINT (-87.63229443427024 41.91988116972152)","176","LINCOLN (ABRAHAM)","100","Gorilla","-87.6322944343","41.9198811697",,"Lincoln Park Zoo","1,412","Gorilla"
"POINT (-87.63520284634356 41.92132095605825)","177","LINCOLN (ABRAHAM)","100","Heron","-87.6352028463","41.9213209561","H. Wheatley Allen","Lincoln Park Zoo","1,413",
"POINT (-87.62366724658935 41.88029537400001)","178","GRANT (ULYSSES)","24","Large Interior Form","-87.6236672466","41.880295374","Henry Moore","Art Institute of Chicago","5,635","Large Interior Form"
"POINT (-87.63481040071665 41.921674085991036)","179","LINCOLN (ABRAHAM)","100","The Lesson","-87.6348104007","41.921674086","Darrell Davis","Lincoln Park Zoo","1,414","The Lesson"
"POINT (-87.6330585012594 41.921968142844605)","180","LINCOLN (ABRAHAM)","100","Limestone Lion","-87.6330585013","41.9219681428","Kathleen McCullough","Lincoln Park Zoo","1,415","Limestone Lion"
"POINT (-87.63392025326502 41.921342171974985)","181","LINCOLN (ABRAHAM)","100","Lion Fountain","-87.6339202533","41.921342172","George Suyeoka","Lincoln Park Zoo","1,416","Lion Fountain"
"POINT (-87.63182991101957 41.91971871332356)","182","LINCOLN (ABRAHAM)","100","Lowland Gorilla Family","-87.631829911","41.9197187133","Bill Wieger","Lincoln Park Zoo","1,417","Lowland Gorilla Family"
"POINT (-87.6329722179441 41.922751203278914)","183","LINCOLN (ABRAHAM)","100","Mother and Baby Pygmy Hippo","-87.6329722179","41.9227512033","Henry Mitchell","Lincoln Park Zoo","1,418","Mother and Baby Pygmy Hippo"
"POINT (-87.63367592728925 41.92058611793888)","184","LINCOLN (ABRAHAM)","100","Old Fishing Hole","-87.6336759273","41.9205861179","Peter Darro","Lincoln Park Zoo","1,419","Old Fishing Hole"
"POINT (-87.63487098133007 41.92146404645149)","185","LINCOLN (ABRAHAM)","100","Pathfinders","-87.6348709813","41.9214640465","Veryl Goodnight","Lincoln Park Zoo","1,420","Pathfinders"
